gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ACCURATE,2017,1,1,0
ACCURATE,2018,1,1,0
ACCURATE,2019,2,1,1
CBCI TELECOM,2017,2,2,0
CBCI TELECOM,2018,1,1,0
CBCI TELECOM,2019,1,1,0
CONFERENCE INTERPRETERS OF CANADA,2019,6,6,0
FABRICE CADIEUX,2018,2,2,0
FABRICE CADIEUX,2019,1,1,0
FREEMAN AUDIO VISUAL CANADA,2017,1,1,0
FREEMAN AUDIO VISUAL CANADA,2018,2,2,0
IDS SYSTEMS CONSULTANTS,2019,2,2,0
LMB INTERPRETATION SYSTEMS SERVICES,2018,10,10,0
LMB INTERPRETATION SYSTEMS SERVICES,2019,9,8,1
PIXELERA,2018,1,1,0
PIXELERA,2019,2,2,0
PRA,2017,1,1,0
PRA,2018,1,1,0
PRA,2019,1,1,0
XEROX,2018,2,2,0
XEROX,2019,1,1,0
