vendor_normalized,effective_year,sum_yearly_value
AGILENT,2010,2232729.22
AGILENT,2011,2775498.21
AGILENT,2012,2370042.62
AGILENT,2013,2054934.15
AGILENT,2014,2985843.90
AGILENT,2015,2139586.14
AGILENT,2016,2978576.68
AGILENT,2017,1145980.70
AGILENT,2018,418813.26
AGILENT,2019,244146.90
ATS SERVICES,2010,799749.86
ATS SERVICES,2011,1301669.96
ATS SERVICES,2012,657063.64
ATS SERVICES,2013,1014403.12
ATS SERVICES,2014,1179594.94
ATS SERVICES,2015,1417810.74
ATS SERVICES,2016,2787131.42
ATS SERVICES,2017,3551861.74
ATS SERVICES,2018,2332287.85
ATS SERVICES,2019,1091218.81
CANADIAN CORPS OF COMMISSIONAIRES,2010,2832874.68
CANADIAN CORPS OF COMMISSIONAIRES,2011,2588925.09
CANADIAN CORPS OF COMMISSIONAIRES,2012,2043009.42
CANADIAN CORPS OF COMMISSIONAIRES,2013,2499584.98
CANADIAN CORPS OF COMMISSIONAIRES,2014,3585530.96
CANADIAN CORPS OF COMMISSIONAIRES,2015,4050303.22
CANADIAN CORPS OF COMMISSIONAIRES,2016,4438707.71
CANADIAN CORPS OF COMMISSIONAIRES,2017,3722067.25
CANADIAN CORPS OF COMMISSIONAIRES,2018,1060636.53
CANADIAN CORPS OF COMMISSIONAIRES,2019,3405055.46
CD NOVA TECH,2010,3074111.00
CD NOVA TECH,2011,1311995.50
CD NOVA TECH,2012,4255745.00
CD NOVA TECH,2013,2806802.00
CD NOVA TECH,2014,2344658.00
CD NOVA TECH,2015,3108537.86
CD NOVA TECH,2016,1156686.17
CD NOVA TECH,2017,1570512.35
CD NOVA TECH,2018,10027.50
CD NOVA TECH,2019,363390.20
HOSKIN SCIENTIFIC,2010,3361445.17
HOSKIN SCIENTIFIC,2011,2029693.35
HOSKIN SCIENTIFIC,2012,2707110.61
HOSKIN SCIENTIFIC,2013,2392250.30
HOSKIN SCIENTIFIC,2014,1114623.23
HOSKIN SCIENTIFIC,2015,1156699.95
HOSKIN SCIENTIFIC,2016,1405147.09
HOSKIN SCIENTIFIC,2017,1078690.98
HOSKIN SCIENTIFIC,2018,1345747.76
HOSKIN SCIENTIFIC,2019,728776.82
LIONBRIDGE,2010,1207888.09
LIONBRIDGE,2011,4915196.15
LIONBRIDGE,2012,745700.33
LIONBRIDGE,2013,3144261.13
LIONBRIDGE,2014,2005254.48
LIONBRIDGE,2015,1772905.20
LIONBRIDGE,2016,270586.68
LIONBRIDGE,2017,90777.78
LIONBRIDGE,2019,243027.00
MICROSOFT CANADA,2010,393369.90
MICROSOFT CANADA,2011,5577078.80
MICROSOFT CANADA,2012,7954822.02
MICROSOFT CANADA,2013,2929341.72
MICROSOFT CANADA,2014,196756.00
MICROSOFT CANADA,2015,346672.96
MICROSOFT CANADA,2016,449581.33
MICROSOFT CANADA,2017,346672.96
MICROSOFT CANADA,2018,21356.31
MICROSOFT CANADA,2019,577561.87
RONDAR,2010,2034174.39
RONDAR,2011,2431766.69
RONDAR,2012,3497191.34
RONDAR,2013,855249.18
RONDAR,2014,811794.18
RONDAR,2015,699121.13
RONDAR,2016,686481.43
RONDAR,2017,684569.48
RONDAR,2018,697697.20
RONDAR,2019,3944946.96
SELEX,2011,45548.80
SELEX,2014,1985570.00
SELEX,2015,1985570.00
SELEX,2016,20800903.88
SELEX,2017,20971027.88
SELEX,2018,20800903.88
SELEX,2019,20800903.88
VAISALA,2010,6951332.82
VAISALA,2011,4422159.63
VAISALA,2012,2912052.99
VAISALA,2013,2889726.00
VAISALA,2014,1154282.74
VAISALA,2015,4093111.72
VAISALA,2016,37347187.58
VAISALA,2017,1914329.84
VAISALA,2018,13834.06
VAISALA,2019,13834.06
