vendor_normalized,effective_year,sum_yearly_value
ACCESS 2 NETWORKS,2017,120309.07
ACCESS 2 NETWORKS,2018,346892.42
ACCESS 2 NETWORKS,2019,369421.48
ADRM TECHNOLOGY CONSULTING,2017,333293.50
ADRM TECHNOLOGY CONSULTING,2018,333293.50
ADRM TECHNOLOGY CONSULTING,2019,416532.12
A HUNDRED ANSWERS,2016,495775.55
A HUNDRED ANSWERS,2017,971014.00
A HUNDRED ANSWERS,2018,1109364.28
A HUNDRED ANSWERS,2019,1087820.83
COFOMO,2016,480491.82
COFOMO,2017,499769.27
COFOMO,2018,526892.11
COFOMO,2019,386259.02
GARTNER,2016,282919.55
GARTNER,2018,258038.07
GARTNER,2019,1259509.63
GCSTRATEGIES,2018,1013949.00
GCSTRATEGIES,2019,1128022.79
MNP,2017,1142801.10
MNP,2018,1142801.10
MNP,2019,1150745.00
OTTAWA MARRIOTT OTTAWA,2015,383527.32
OTTAWA MARRIOTT OTTAWA,2016,383527.32
OTTAWA MARRIOTT OTTAWA,2017,383527.32
OTTAWA MARRIOTT OTTAWA,2018,383527.32
STONEWORKS TECHNOLOGIES,2017,105200.99
STONEWORKS TECHNOLOGIES,2018,521277.28
STONEWORKS TECHNOLOGIES,2019,146349.91
TURTLE TECHNOLOGIES,2015,178369.41
TURTLE TECHNOLOGIES,2016,178369.41
TURTLE TECHNOLOGIES,2017,178369.41
TURTLE TECHNOLOGIES,2018,220725.18
TURTLE TECHNOLOGIES,2019,243487.89
