gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
CALIAN,2017,13,9,4
CALIAN,2018,16,10,6
CALIAN,2019,32,20,12
COLLIERS PROJECT LEADERS,2017,3,2,1
COLLIERS PROJECT LEADERS,2018,4,3,1
COLLIERS PROJECT LEADERS,2019,6,5,1
IDEXX LABORATORIES CANADA,2017,1,1,0
IDEXX LABORATORIES CANADA,2018,3,3,0
IDEXX LABORATORIES CANADA,2019,12,12,0
IMPERIAL OIL,2017,10,10,0
IMPERIAL OIL,2019,9,9,0
IRON MOUNTAIN,2018,6,6,0
IRON MOUNTAIN,2019,9,6,3
KONICA MINOLTA BUSINESS EQUIPMENT,2017,5,5,0
KONICA MINOLTA BUSINESS EQUIPMENT,2018,14,14,0
KONICA MINOLTA BUSINESS EQUIPMENT,2019,6,6,0
NISHA TECHONOLOGIES,2018,11,11,0
NISHA TECHONOLOGIES,2019,22,22,0
NORTHERN MICRO,2017,2,2,0
NORTHERN MICRO,2018,16,16,0
NORTHERN MICRO,2019,4,4,0
ONTARIO DENTAL ASSOCIATION,2017,20,9,11
ONTARIO DENTAL ASSOCIATION,2018,14,6,8
ONTARIO DENTAL ASSOCIATION,2019,42,24,18
QMR,2017,2,1,1
QMR,2018,7,7,0
QMR,2019,12,10,2
