vendor_normalized,effective_year,sum_yearly_value
CANADIAN CORPS OF COMMISSIONAIRES,2014,94241.93
CANADIAN CORPS OF COMMISSIONAIRES,2015,24024882.09
CANADIAN CORPS OF COMMISSIONAIRES,2016,25164781.95
CANADIAN CORPS OF COMMISSIONAIRES,2017,25689508.49
CANADIAN CORPS OF COMMISSIONAIRES,2018,12823998.52
CANADIAN CORPS OF COMMISSIONAIRES,2019,15395041.12
CGI,2013,2940300.00
CGI,2014,2940300.00
CGI,2015,4102030.40
CGI,2016,6641249.49
CGI,2017,6191991.51
CGI,2018,5014704.78
CGI,2019,4987542.61
COFOMO,2012,215031.00
COFOMO,2013,1898163.00
COFOMO,2014,3746621.30
COFOMO,2015,9043861.29
COFOMO,2016,14096021.79
COFOMO,2017,8298834.51
COFOMO,2018,21192898.36
COFOMO,2019,30277268.28
G4S SECURITY SERVICES,2013,21265392.00
G4S SECURITY SERVICES,2016,10911068.00
G4S SECURITY SERVICES,2017,10911068.00
G4S SECURITY SERVICES,2018,10911068.00
G4S SECURITY SERVICES,2019,10911068.00
IBM CANADA,2015,10846599.55
IBM CANADA,2016,8617601.44
IBM CANADA,2017,11664615.47
IBM CANADA,2018,9059956.60
IBM CANADA,2019,15008094.90
LOGISTIK UNICORP,2015,7203750.00
LOGISTIK UNICORP,2016,7203750.00
LOGISTIK UNICORP,2017,7203750.00
LOGISTIK UNICORP,2018,10335841.00
LOGISTIK UNICORP,2019,10335841.00
SI SYSTEMS,2012,1915144.33
SI SYSTEMS,2013,593044.33
SI SYSTEMS,2014,2308408.37
SI SYSTEMS,2015,3945403.51
SI SYSTEMS,2016,5122634.18
SI SYSTEMS,2017,4573965.35
SI SYSTEMS,2018,6056741.74
SI SYSTEMS,2019,8332185.94
SMITHS DETECTION MONTREAL,2012,6822237.33
SMITHS DETECTION MONTREAL,2013,6822237.33
SMITHS DETECTION MONTREAL,2014,6822237.33
SMITHS DETECTION MONTREAL,2015,6822237.33
SMITHS DETECTION MONTREAL,2016,6822237.33
SMITHS DETECTION MONTREAL,2017,1529558.70
SMITHS DETECTION MONTREAL,2018,-1579486.22
SMITHS DETECTION MONTREAL,2019,13585953.69
TPG TECHNOLOGY CONSULTANTS,2010,1474542.38
TPG TECHNOLOGY CONSULTANTS,2011,550102.38
TPG TECHNOLOGY CONSULTANTS,2012,550102.38
TPG TECHNOLOGY CONSULTANTS,2013,550102.38
TPG TECHNOLOGY CONSULTANTS,2014,2941905.38
TPG TECHNOLOGY CONSULTANTS,2015,2399692.55
TPG TECHNOLOGY CONSULTANTS,2016,1787260.73
TPG TECHNOLOGY CONSULTANTS,2017,2521917.57
TPG TECHNOLOGY CONSULTANTS,2018,7453797.58
TPG TECHNOLOGY CONSULTANTS,2019,7345090.35
VERITAAQ TECHNOLOGY HOUSE,2013,2196285.50
VERITAAQ TECHNOLOGY HOUSE,2014,414129.79
VERITAAQ TECHNOLOGY HOUSE,2015,4847514.95
VERITAAQ TECHNOLOGY HOUSE,2016,5202498.03
VERITAAQ TECHNOLOGY HOUSE,2017,4985428.09
VERITAAQ TECHNOLOGY HOUSE,2018,3741844.05
VERITAAQ TECHNOLOGY HOUSE,2019,3696880.64
