gen_vendor_normalized,total_entries,total_contracts,total_amendments
RICOH,175,142,33
VERITAAQ TECHNOLOGY HOUSE,156,99,57
COFOMO,123,86,37
CANADIAN CORPS OF COMMISSIONAIRES,115,97,18
TPG TECHNOLOGY CONSULTANTS,95,52,43
DELOITTE AND TOUCHE,90,72,18
SI SYSTEMS,84,56,28
NORTHERN MICRO,79,77,2
RANDSTAD,73,43,30
IBM CANADA,67,43,24
FORD MOTOR COMPANY,67,65,2
NISHA TECHONOLOGIES,66,64,2
GARTNER,59,56,3
IBISKA TELECOM,57,30,27
CGI,56,29,27
MOTOROLA SOLUTIONS CANADA,50,47,3
CANON,50,43,7
MOORE CANADA,50,49,1
BRINKS CANADA,49,37,12
PATTISON SIGNS,49,41,8
XEROX,46,40,6
GENERAL MOTORS,46,45,1
ALTIS HUMAN RESOURCES,44,27,17
PRINTERS PLUS,42,40,2
QMR,39,29,10
TEKSYSTEMS CANADA,37,25,12
ECOLE DE LANGUES ABCE,34,30,4
SMITHS DETECTION MONTREAL,32,12,20
MINDWIRE SYSTEMS,31,20,11
MGIS,31,26,5
PERCEPTICS,31,5,26
4 OFFICE AUTOMATION,30,25,5
CALIAN,29,17,12
PACIFIC SAFETY PRODUCTS,28,28,0
D4IS SOLUTIONS,28,14,14
ADVANCED CHIPPEWA TECHNOLOGIES,28,24,4
FLEET CHRYSLER CANADA,27,27,0
PV SERVICES,25,24,1
BDO CANADA,23,19,4
SAP,23,17,6
ABCE,22,18,4
SMITHS DETECTION,21,14,7
JIM PATTISON INDUSTRIES,21,18,3
TEKNION,21,21,0
ACME FUTURE SECURITY CONTROLS,21,18,3
CDW CANADA,21,20,1
GLOBAL UPHOLSTERY,21,21,0
DONNA CONA,20,15,5
ERGOCENTRIC SEATING SYSTEMS,20,20,0
MICROSOFT CANADA,20,17,3
TELECOM COMPUTER SERVICES,20,19,1
AVI SPL CANADA,19,18,1
SOFTCHOICE,19,18,1
ORACLE CANADA,19,19,0
THERMO FISHER SCIENTIFIC,18,12,6
THE BUSINESS LINE,18,18,0
AGILENT,18,17,1
EXCEL HUMAN RESOURCES,18,13,5
MODIS CANADA,18,12,6
PROSCI CANADA,17,15,2
SIMNER,16,15,1
PRICEWATERHOUSE COOPERS,16,11,5
PROFESSIONAL COMPUTER CONSULTANTS GROUPS,16,10,6
ADRM TECHNOLOGY CONSULTING,16,12,4
SAMSON ASSOCIATES,15,13,2
ITEX,14,14,0
DWP SOLUTIONS,14,7,7
SYSTEMATIX SOLUTIONS,14,6,8
ADAPT PHARMA CANADA,14,14,0
PALADIN TECHNOLOGIES,14,14,0
NAVPOINT CONSULTING GROUP,14,10,4
LEXISNEXIS CANADA,13,11,2
RAYMOND CHABOT GRANT THORNTON,13,12,1
GRAYBRIDGE INTERNATIONAL CONSULTING,13,9,4
PITNEY BOWES,13,13,0
BELL CANADA,13,9,4
SUBARU CANADA,13,13,0
WILLIAM J BARKER CLINICAL,13,9,4
BUSINESS INTERIORS ONTARIO,13,12,1
KONICA MINOLTA BUSINESS SOLUTIONS,12,11,1
QUINTET CONSULTING,12,12,0
TALIGENT CONSULTING,12,6,6
CHASE OFFICE INTERIORS,12,12,0
CENTRE DE LANGUES INTERNATIONALES,12,11,1
IRON MOUNTAIN SECURE SHREDDING,12,11,1
STOEGER CANADA 1990,12,11,1
FCA CANADA,12,12,0
MORPHO CANADA,12,4,8
GRAND TOY,12,12,0
CISTEL TECHNOLOGY,12,9,3
TOYOTA CANADA,11,11,0
TRM TECHNOLOGIES,11,7,4
DASCO STORAGE SOLUTIONS,11,11,0
TYCO INTEGRATED FIRE SECURITY CANADA,11,8,3
3261620 CANADA,11,10,1
WATERSHED INFORMATION TECHNOLOGY,11,5,6
ERNST YOUNG,10,4,6
COMPUGEN,10,10,0
4PLAN CONSULTING,10,3,7
ECOLE CREUSOT,10,6,4
DYNAMIC PERSONNEL CONSULTANTS,10,5,5
CROWN ENTERPRISES,10,9,1
TELUS CANADA,10,9,1
PROACTIVE SECURITY,10,7,3
RADIATION SOLUTIONS,10,2,8
CLOSEREACH,10,6,4
BERLITZ CANADA,10,8,2
GREATER TORONTO AIRPORTS AUTHORITY,10,6,4
INTERPORT SHIPWASTE SOLUTIONS,10,9,1
PRECISIONERP,9,5,4
SERCO,9,4,5
ALIVAKTUK CONSULTING,9,5,4
GLOBAL KNOWLEDGE,9,9,0
CANQUEST COMMUNICATIONS WIRELESS,9,4,5
UNIVERSITE SAINTE ANNE,9,9,0
MOBILSHRED RECALL,9,8,1
TOSHIBA OF CANADA,8,6,2
HYPERTEC,8,8,0
PRECISIONIT,8,6,2
THE RIGHT DOOR CONSULTING,8,6,2
MDOS CONSULTING,8,5,3
DELCO SECURITY,8,8,0
DELCO AUTOMATION,8,8,0
LES CONSULTANTS OLYMPE,8,2,6
TERRAPURE,8,5,3
JUNO RISK SOLUTIONS,8,7,1
FOURSIGHT CONSULTING GROUP,8,3,5
TES CONTRACT SERVICES,8,6,2
NISSAN CANADA,8,8,0
ADMINSERV CANADA,8,3,5
CARAHSOFT TECHNOLOGY,8,6,2
IHS GLOBAL,8,6,2
MAXSYS,8,6,2
THE TRI GROUP,7,7,0
RJR INNOVATIONS,7,1,6
ROGUE DATA,7,6,1
AMJ CAMPBELL VAN LINES,7,7,0
MET SCAN CANADA,7,6,1
THE ACCESS INFORMATION AGENCY,7,6,1
BRS INNOVATIONS,7,4,3
MICHELLE FAVREAU,7,7,0
DELL COMPUTER,7,6,1
TELCON DATVOX,7,4,3
DATA GROUP,7,7,0
BOUTY,7,7,0
GDI SERVICES QUEBEC SEC,7,2,5
GARDA CANADA SECURITY,7,3,4
KNOWLEDGE CIRCLE,7,6,1
CORNERSTONE GROUP OF COMPANIES,7,3,4
SYFT TECHNOLOGIES,7,1,6
CONTRACT COMMUNITY,7,6,1
PERLUSTRO,7,5,2
MAPLESOFT CONSULTING,7,6,1
3555844 CANADA,7,3,4
ADVANCED BUSINESS INTERIORS,7,7,0
OPENFRAME TECHNOLOGIES,7,3,4
CHUBB EDWARDS,7,7,0
STRATEGIC RELATIONSHIPS SOLUTIONS,7,3,4
INKAS SECURITY SERVICES,7,3,4
IMAGE AIR CHARTER,7,6,1
RAMPART INTERNATIONAL,7,7,0
TEXTUS,7,6,1
IMP GROUP,7,3,4
MICRO SYSTEMATION CANADA,6,3,3
HONEYWELL,6,4,2
EMPOWERED NETWORKS,6,5,1
HL DISPOSAL AND LAWN SERVICES,6,6,0
ECOLE DE LANGUES LA CITE,6,5,1
MINGUS SOFTWARE,6,6,0
THOMSON REUTERS CANADA,6,6,0
HAWORTH,6,6,0
RE GILMORE INVESTMENTS,6,5,1
THE AIM GROUP,6,4,2
GUARDIAN STORAGE,6,3,3
THE GARDA SECURITY GROUP,6,4,2
DONALD A BELLIVEAU ASSOCIATES,6,4,2
MISHKUMI TECHNOLOGIES,6,5,1
MD CHARLTON,6,6,0
MEGS SPECIALTY GASES,6,4,2
EVALUATION PERSONNEL,6,6,0
RAPISCAN SYSTEMS,6,1,5
GENERAL DYNAMICS,6,6,0
GLENTEL WIRELESS CENTRE,6,1,5
CSDC SYSTEMS,6,4,2
P R SERVICES,6,4,2
PREMIER CONTINUUM,6,2,4
FUJITSU,6,1,5
SYSTEMSCOPE,6,5,1
G4S SECURITY SERVICES,6,4,2
SUNO TECH CANADA,6,6,0
SUPREMEX,6,6,0
IRON MOUNTAIN CANADA,6,5,1
CENTRE DE LANGUES INTERNATIONALES CHARPENTIER CLIC,6,5,1
STAPLES,6,4,2
NUCTECH COMPANY,6,4,2
SOMOS,6,2,4
NAV CANADA,6,4,2
EXCEL PRIX GROSSISTE EN ALIMENTATION,6,5,1
FAIR ISAAC INTERNATIONAL CANADA,6,3,3
CANADIAN RED CROSS,6,3,3
