gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ADIRONDACK INFORMATION MANAGEMENT AMITA ARTEMP PERSONNEL SERVICES THE AIM GROUP IN JOINT VENTURE,2018,1,1,0
ADIRONDACK INFORMATION MANAGEMENT AMITA ARTEMP PERSONNEL SERVICES THE AIM GROUP IN JOINT VENTURE,2019,3,0,3
ADVANCED BUSINESS INTERIORS,2018,2,2,0
ADVANCED BUSINESS INTERIORS,2019,2,2,0
ALTIS HUMAN RESOURCES,2018,4,4,0
ALTIS HUMAN RESOURCES,2019,4,3,1
EDELMAN PUBLIC RELATIONS WORLDWIDE CANADA,2018,1,1,0
EDELMAN PUBLIC RELATIONS WORLDWIDE CANADA,2019,3,3,0
EXCEL HUMAN RESOURCES,2018,4,4,0
EXCEL HUMAN RESOURCES,2019,1,1,0
ITEX,2017,1,1,0
ITEX,2018,2,2,0
ITEX,2019,1,1,0
NISHA TECHONOLOGIES,2018,1,1,0
NISHA TECHONOLOGIES,2019,4,4,0
OPTIV CANADA FEDERAL,2018,1,1,0
OPTIV CANADA FEDERAL,2019,4,4,0
SOLUTIONS MOERAE MSI,2018,8,6,2
SOLUTIONS MOERAE MSI,2019,1,1,0
THE AIM GROUP,2018,8,5,3
THE AIM GROUP,2019,1,0,1
