owner_acronym,effective_year,sum_yearly_value
atssc,2017,95116.59
atssc,2018,289638.07
atssc,2019,78252.22
cbsa,2014,75936.00
cfia,2011,22720.74
cfia,2012,495260.00
cihr,2017,34084.00
cihr,2018,56018.00
cihr,2019,22679.32
cnsc,2010,354906.01
cnsc,2011,593603.32
cnsc,2014,254926.59
cra,2010,3016467.62
cra,2011,199633.45
cra,2012,199633.45
cra,2013,199633.45
cra,2014,199633.45
cra,2017,100131.47
cra,2018,100131.47
cra,2019,653203.59
crtc,2017,56905.04
csa,2016,70897.42
csa,2017,103094.25
csa,2018,177575.06
csa,2019,177575.06
csc,2015,17668.00
csc,2016,245978.07
csc,2017,432672.16
csc,2018,199160.85
csc,2019,12466.76
dfo,2010,236194.70
dfo,2011,580666.21
dfo,2012,912725.23
dfo,2016,17752.00
dnd,2010,1162103.92
dnd,2011,1578090.84
dnd,2012,1162101.34
dnd,2013,1226904.44
dnd,2014,1007088.84
dnd,2015,1042735.94
dnd,2016,4234809.85
dnd,2017,258425.54
dnd,2018,316813.19
dnd,2019,1696046.18
ec,2010,811748.05
ec,2011,5888980.25
ec,2012,3849939.37
ec,2013,26005.00
ec,2016,10587.88
ec,2017,7500.78
ec,2018,146673.87
ec,2019,223994.31
elections,2016,154258.13
elections,2017,623965.42
elections,2018,587627.15
elections,2019,430634.38
esdc,2010,293399.81
esdc,2011,63335.32
esdc,2012,485713.00
fin,2010,72026.20
fin,2011,72026.20
fin,2012,94968.18
fintrac,2010,376222.95
fintrac,2011,24995.00
fintrac,2012,29645.00
fintrac,2013,9125.00
fintrac,2019,39663.00
gac,2010,101850.00
gac,2011,185375.31
gac,2017,13995.02
hc,2011,1071214.40
hc,2012,554997.36
hc,2016,486973.50
hc,2017,882473.50
hc,2018,395500.00
hc,2019,1181445.01
ic,2010,721615.00
ic,2011,1310379.00
ic,2012,934415.00
ic,2013,420669.00
ic,2014,243004.00
ic,2015,229950.00
ic,2017,117357.77
ic,2018,117357.77
ircc,2010,210455.17
ircc,2011,751314.95
ircc,2012,783412.06
ircc,2013,63788.65
just,2010,155578.50
just,2011,71194.86
just,2013,502030.75
just,2014,676936.67
just,2015,123964.46
just,2016,123964.46
just,2017,123964.46
lac,2019,309241.47
nrc,2010,1130371.00
nrc,2011,300724.00
nrc,2012,32191.00
nrc,2018,12430.12
nrc,2019,56435.34
nrcan,2011,235564.94
nrcan,2012,63614.32
nrcan,2013,9129.00
nrcan,2015,36713.70
nrcan,2016,36713.70
nrcan,2017,34100.01
nrcan,2018,170184.40
nrcan,2019,858022.87
oag,2018,56995.52
oag,2019,56995.52
osfi,2013,29179.30
osfi,2014,29179.30
osfi,2015,29179.30
osfi,2016,48965.38
osfi,2017,339791.55
osfi,2018,418018.66
osfi,2019,809682.26
pch,2010,166302.28
pco,2011,23327.02
pco,2012,19507.60
pco,2013,19507.60
pco,2017,86495.85
phac,2011,558979.69
phac,2012,277498.68
phac,2015,572910.00
phac,2016,486973.50
phac,2017,486973.50
pptc,2011,17226.06
pptc,2012,17226.06
pptc,2013,17226.06
ps,2010,108315.29
ps,2011,470375.72
ps,2012,71935.51
ps,2013,5650.00
ps,2014,27896.64
ps,2017,1232624.62
ps,2018,103099.58
psc,2010,172229.00
psc,2011,99569.00
psc,2013,54493.00
pspc,2010,2015291.37
pspc,2011,2462791.04
pspc,2012,864616.61
pspc,2013,601084.79
pspc,2014,1217787.00
pspc,2015,1025739.73
pspc,2016,224960.40
pspc,2017,3045247.32
pspc,2018,6797482.64
pspc,2019,3682283.13
rcmp,2010,1040260.78
rcmp,2011,7527751.57
rcmp,2012,2478047.66
rcmp,2014,66166.80
rcmp,2017,767369.90
rcmp,2018,1359207.40
ssc,2012,2756528.08
ssc,2013,30661270.84
ssc,2014,35571504.81
ssc,2015,25993886.48
ssc,2016,14374652.30
ssc,2017,64032040.76
ssc,2018,27419961.35
ssc,2019,30824558.12
stats,2010,4540672.72
stats,2011,4062861.79
stats,2012,3760925.45
stats,2013,977451.11
stats,2014,168554.21
stats,2015,168554.21
stats,2016,19794.24
stats,2017,19794.24
tbs,2010,74576.96
tbs,2011,2122003.80
tbs,2012,2635363.35
tbs,2013,205385.62
tbs,2014,35509.58
tbs,2018,89767.20
tbs,2019,241718.30
tc,2012,712589.64
tc,2013,94225.05
tc,2014,49504.60
tc,2015,49504.60
tc,2019,41951.25
vac,2011,19077.76
vac,2012,174109.86
vac,2013,19585.81
vac,2015,119594.63
vac,2016,61835.11
vac,2017,33744.00
