gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,2017,3,3,0
ALTIS HUMAN RESOURCES,2018,5,3,2
ALTIS HUMAN RESOURCES,2019,5,3,2
ASOKAN,2017,2,2,0
ASOKAN,2019,1,1,0
CDW CANADA,2018,4,4,0
CDW CANADA,2019,3,3,0
CORADIX TECHNOLOGY CONSULTING,2017,1,1,0
CORADIX TECHNOLOGY CONSULTING,2018,2,1,1
EXCEL HUMAN RESOURCES,2017,1,1,0
EXCEL HUMAN RESOURCES,2018,4,3,1
EXCEL HUMAN RESOURCES,2019,3,2,1
IDS SYSTEMS CONSULTANTS,2018,2,1,1
IDS SYSTEMS CONSULTANTS,2019,2,1,1
LANNICK CONTRACT SOLUTIONS,2018,1,1,0
LANNICK CONTRACT SOLUTIONS,2019,2,2,0
MICROSOFT CANADA,2018,4,4,0
MICROSOFT CANADA,2019,1,0,1
NISHA TECHONOLOGIES,2017,1,1,0
NISHA TECHONOLOGIES,2019,3,3,0
TEKNION,2017,1,1,0
TEKNION,2018,2,2,0
TEKNION,2019,1,1,0
