vendor_normalized,sum_effective_value
GENERAL DYNAMICS,5258123195.12
AIRBUS DEFENSE SPACE,3665127054.96
LOCKHEED MARTIN,2569759044.89
SNC LAVALIN,1835493759.35
IRVING SHIPBUILDING,1263481067.60
PROJET RESOLVE PROJECT RESOLVE,1241730000.00
BABCOCK INTERNATIONAL GROUP,1025857774.83
L3 COMMUNICATIONS,964084126.75
UNITED STATES DEPARTMENT OF THE NAVY,935046155.00
MACK TRUCKS,917841351.29
SEASPAN VICTORIA SHIPYARDS,887465196.80
KF AEROSPACE,842507366.61
RAYTHEON,732338275.04
RHEINMETALL,659260537.95
BELL TEXTRON,576653519.82
IMP GROUP,547733671.21
CASCADE AEROSPACE,533837451.33
CAE,487734396.34
IMPERIAL OIL,444200046.21
ELLISDON,438122748.80
UNITED STATES DEPARTMENT OF THE AIR FORCE,415045017.69
WEATHERHAVEN CANADA,388087261.82
VANCOUVER SHIPYARDS,372722615.39
WEIR CANADA,363210341.00
CANADIAN BASE OPERATORS,355218010.66
SAAB,300461909.32
NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT,296827252.07
FEDERAL FLEET SERVICES,296382857.14
CHANTIER DAVIE CANADA,287437500.00
SKYLINK AVIATION,286957159.77
FFG,277199704.45
THALES,266693930.48
CUBIC DEFENSE APPLICATIONS,261969144.12
TELUS CANADA,261180492.01
COLT CANADA,261003986.61
SIMEX DEFENCE,253406329.15
BONDFIELD CONSTRUCTION COMPANY,249270000.00
CANADIAN CORPS OF COMMISSIONAIRES,237829386.34
KNAPPETT INDUSTRIES,234825058.29
LOGISTIK UNICORP,231949958.65
IBM CANADA,206830067.75
CALIAN,201207409.94
NORTHROP GRUMMAN,198382402.76
ATCO,195883632.75
SHELL CANADA PRODUCTS,176176629.73
CHEVRON,176051333.18
ORENDA AEROSPACE,169566350.00
ADGA GROUP,162506999.01
SERCO,154848569.99
KRAUSS MAFFEI WEGMANN,154161800.49
VALCOM CONSULTING,152518228.02
TOP ACES,148657067.70
THYSSENKRUPP MARINE SYSTEMS CANADA,140949424.00
DADS,137005033.53
BLACK MCDONALD,135461868.57
PRICEWATERHOUSE COOPERS,126715485.24
PROMAXIS,116622436.17
MODIS CANADA,115429592.82
MEGGITT,112373568.49
MACDONALD DETTWILER AND ASSOCIATES,110817379.83
PETROVALUE PRODUCTS,110798223.65
TELEROB,107226207.50
CARILLION CANADA,106843376.63
NISHA TECHONOLOGIES,105965574.02
AMTEK ENGINEERING,104828410.68
BMT FLEET TECHNOLOGY,103789069.35
DEW ENGINEERING,103289323.71
BLUEWAVE ENERGY,102572720.46
UNISOURCE,101840809.95
SITE ENERGY SERVICES,97322511.27
BELL CANADA,95003161.52
UNITED STATES DEPARTMENT OF THE ARMY,93442457.87
PEERLESS GARMENTS,90967480.83
VECTOR AEROSPACE,90692245.38
ALTIS HUMAN RESOURCES,88789461.15
CORADIX TECHNOLOGY CONSULTING,86178147.89
REVISION MILITARY,85316106.73
WARTSILA,84549710.11
NORTHERN MICRO,83834635.54
ALLIANT TECHSYSTEMS OPERATIONS,83288934.59
IMT PARTNERSHIP,82557688.42
FORD MOTOR COMPANY,78948595.60
PENNANT CANADA,78939269.69
CORPORATION DU FORT ST JEAN,71611205.01
DISCOVERY AIR DEFENCE SERVICES,69866925.89
ORACLE CANADA,69765932.78
NAV CANADA,69053711.00
ELBIT SYSTEMS EW AND SIGINT ELISRA,68923395.76
MOTOROLA SOLUTIONS CANADA,66291464.81
IRVING OIL,66238831.12
IBISKA TELECOM,66203976.82
ITEX,66164208.16
BRONSWERK MARINE,64720646.13
MLS OVERSEAS,62316494.26
HEWLETT PACKARD,61829546.36
KODIAK GROUP HOLDINGS,61343285.38
COSSETTE COMMUNICATIONS,60843454.78
PATLON AIRCRAFT INDUSTRIES,59975178.07
PENTAGON STRUCTURES,59837732.22
SIERRA SYSTEMS GROUP,59816333.42
FLEETWAY,59334219.75
SCANSA CONSTRUCTION,59305545.00
WORLD FUEL SERVICES,59215302.05
STANDARD AERO,56292885.00
ALMIQ CONTRACTING,55857000.00
POMERLEAU,55628962.45
GENERAL MOTORS,55162089.74
CDW CANADA,54639763.70
STANTEC,53768887.09
DECISIVE TECHNOLOGIES,53438324.28
