vendor_normalized,effective_year,sum_yearly_value
AECOM,2017,47000.00
AECOM,2018,47000.00
C GIAMBERARDINO CONTRACTING,2018,445446.00
C GIAMBERARDINO CONTRACTING,2019,14260.60
COLDFRONT LABS,2017,56477.40
COLDFRONT LABS,2018,72495.15
GENESIS INTEGRATION,2019,137953.35
LIMNO TECH,2017,42000.00
LIMNO TECH,2018,53102.00
LURA CONSULTING,2018,56963.30
LURA CONSULTING,2019,44985.30
OFFICEMAX GRAND TOY,2018,68651.90
OFFICEMAX GRAND TOY,2019,85272.38
TCI TRANSLATORS CONFERENCE INTERPRETERS,2018,25000.00
TCI TRANSLATORS CONFERENCE INTERPRETERS,2019,75000.00
TECHNOLOGY INTEGRATION GROUP,2017,90862.18
TECHNOLOGY INTEGRATION GROUP,2018,87864.72
TRADUCTIONS HOULE,2018,25000.00
TRADUCTIONS HOULE,2019,50000.00
