gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ACCESS 2 NETWORKS,2016,1,1,0
ACCESS 2 NETWORKS,2017,4,4,0
ACCESS 2 NETWORKS,2018,2,2,0
ACCESS 2 NETWORKS,2019,2,2,0
CBCI TELECOM CANADA,2017,9,9,0
CISTEL TECHNOLOGY,2017,3,3,0
CISTEL TECHNOLOGY,2018,4,3,1
CISTEL TECHNOLOGY,2019,2,2,0
EXCEL HUMAN RESOURCES,2017,1,1,0
EXCEL HUMAN RESOURCES,2018,4,4,0
EXCEL HUMAN RESOURCES,2019,3,3,0
FAST FORWARD FRENCH,2017,1,1,0
FAST FORWARD FRENCH,2018,4,4,0
FAST FORWARD FRENCH,2019,2,2,0
LUMINA IT,2017,2,2,0
LUMINA IT,2018,7,7,0
LUMINA IT,2019,2,2,0
NORTHERN MICRO,2017,1,1,0
NORTHERN MICRO,2018,3,2,1
NORTHERN MICRO,2019,2,2,0
NUMERIS,2016,2,2,0
NUMERIS,2017,2,0,2
NUMERIS,2018,2,2,0
SOFTCHOICE,2017,7,7,0
SOFTCHOICE,2018,5,5,0
SOFTCHOICE,2019,2,1,1
STONEWORKS TECHNOLOGIES,2017,3,3,0
STONEWORKS TECHNOLOGIES,2018,4,4,0
