gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
BIAPRO INFORMATION SOLUTIONS,2017,2,2,0
BIAPRO INFORMATION SOLUTIONS,2018,1,1,0
BIAPRO INFORMATION SOLUTIONS,2019,1,1,0
BINATECH SYSTEMS SOLUTIONS,2017,1,1,0
BINATECH SYSTEMS SOLUTIONS,2018,1,1,0
CANON,2016,2,1,1
CANON,2019,3,3,0
DAVID APLIN ASSOCIATES,2017,4,2,2
DAVID APLIN ASSOCIATES,2018,1,1,0
EVRON COMPUTER SYSTEMS,2018,1,1,0
EVRON COMPUTER SYSTEMS,2019,2,2,0
IBM CANADA,2017,1,1,0
IBM CANADA,2018,1,1,0
KPMG,2017,1,1,0
KPMG,2019,2,1,1
LINKEDIN IRELAND UNLIMITED COMPANY,2017,2,1,1
LINKEDIN IRELAND UNLIMITED COMPANY,2019,1,1,0
SECURICORE,2017,1,1,0
SECURICORE,2018,1,1,0
SECURICORE,2019,2,2,0
THE WOHL GROUP,2017,1,1,0
THE WOHL GROUP,2018,2,0,2
