gen_vendor_normalized,total_entries,total_contracts,total_amendments
SOFTCHOICE,6,6,0
NISHA TECHONOLOGIES,5,5,0
PUBLIC SERVICES AND PROCUREMENT CANADA,4,4,0
QMR,4,4,0
PUBLIC WORKS AND GOVERNMENT SERVICES CANADA,3,3,0
ADAMS COMPANY COMMUNICATIONS,2,2,0
EXECUTIVE CABS,2,2,0
SHARED SERVICES CANADA,2,2,0
DELL COMPUTER,1,1,0
DIANE BROUSSEAU,1,1,0
DSB SECURITY CONSULTING,1,1,0
GOLDBLATT PARTNERS,1,1,0
ITEX,1,1,0
JANE STRONG,1,1,0
MAPLEWORLD TRANSALTION,1,1,0
MICROSOFT CANADA,1,1,0
MY GCHR PUBLIC SERVICES OF PROCUREMENT CANADA,1,1,0
NOEL C KEELEY REPORTING SERVICES,1,1,0
PLAN GROUP,1,1,0
PRIMA INFORMATION SOLUTIONS,1,1,0
PRIVACY COUNCIL OFFICE,1,1,0
PWGS TRANSLATION,1,1,0
SECURITEX CONSULTING,1,1,0
SHARED HUMAN RESOURCES SERVICES PUBLIC SERVICES AND PROCUREMENT CANADA,1,1,0
SHARED SERVICE CANADA,1,1,0
SHARED SERVICES INTEGRATION PUBLIC SERVICES AND PROCUREMENT CANADA,1,1,0
SSC LAURIER COMPUTERS,1,1,0
SSC NORTHERN MICRO,1,1,0
TAXITAB,1,1,0
TOTEM OFFISOURCE,1,1,0
UNITE CONSULTING INSTALLATION GROUP,1,1,0
ADGA GROUP,1,1,0
ASAP REPORTING SERVICES,1,1,0
AVI SPL CANADA,1,1,0
CARON PROFESSIONAL LINGUISTIC,1,1,0
COMMUNICATIONS SECURITY ESTABLISHMENT,1,1,0
CSDC,1,1,0
DANY LAPOINTE,1,1,0
