gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
AVI SPL CANADA,2019,2,2,0
DENIS BELANGER,2016,1,1,0
DENIS BELANGER,2017,1,0,1
DENIS BELANGER,2018,1,1,0
DENIS BELANGER,2019,1,0,1
DR MICHAEL RIEDER,2018,1,1,0
DR MICHAEL RIEDER,2019,1,1,0
FACTIVA,2017,1,1,0
FACTIVA,2019,1,1,0
GLOBALDATA PUBLICATIONS,2017,1,1,0
GLOBALDATA PUBLICATIONS,2018,1,1,0
GLOBALDATA PUBLICATIONS,2019,1,1,0
IQVIA,2017,2,2,0
IQVIA,2018,1,0,1
IQVIA,2019,2,2,0
IQVIA AG,2017,1,1,0
IQVIA AG,2018,2,1,1
OTTAWA VALLEY REGIONAL DRUG INFORMATION SERVICE,2016,1,1,0
OTTAWA VALLEY REGIONAL DRUG INFORMATION SERVICE,2017,1,0,1
OTTAWA VALLEY REGIONAL DRUG INFORMATION SERVICE,2018,1,1,0
RICHARD SCHWINDT,2016,2,2,0
RICHARD SCHWINDT,2018,1,1,0
SAS INSTITUTE,2016,1,1,0
SAS INSTITUTE,2017,2,2,0
