gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,2017,1,1,0
ALTIS HUMAN RESOURCES,2018,3,3,0
ALTIS HUMAN RESOURCES,2019,4,4,0
ARIANE GAGNON ROCQUE ROYCHARBONNEAUAVOCATS,2018,1,1,0
ARIANE GAGNON ROCQUE ROYCHARBONNEAUAVOCATS,2019,3,2,1
COX AND PALMER,2018,1,1,0
COX AND PALMER,2019,3,0,3
DELL COMPUTER,2017,5,5,0
DELL COMPUTER,2018,7,7,0
FORD MOTOR COMPANY,2018,3,3,0
FORD MOTOR COMPANY,2019,2,2,0
INTEGRA NETWORKS,2018,3,3,0
INTEGRA NETWORKS,2019,1,1,0
MAHONEY ANNE LOUISE,2017,1,1,0
MAHONEY ANNE LOUISE,2018,2,1,1
MAHONEY ANNE LOUISE,2019,1,0,1
NORTHERN MICRO,2017,3,3,0
NORTHERN MICRO,2018,3,3,0
SAMSON ASSOCIATES,2017,2,2,0
SAMSON ASSOCIATES,2018,2,1,1
SAMSON ASSOCIATES,2019,1,1,0
SHARP ELECTRONICS,2017,4,4,0
SHARP ELECTRONICS,2018,5,5,0
