gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,2016,1,1,0
ALTIS HUMAN RESOURCES,2017,5,3,2
ALTIS HUMAN RESOURCES,2018,16,12,4
ALTIS HUMAN RESOURCES,2019,11,8,3
CANADA POST,2016,3,3,0
CANADA POST,2017,2,0,2
CANADA POST,2018,4,4,0
CANADA POST,2019,8,3,5
CANADIAN CORPS OF COMMISSIONAIRES,2016,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2017,3,3,0
CANADIAN CORPS OF COMMISSIONAIRES,2018,7,5,2
CANADIAN CORPS OF COMMISSIONAIRES,2019,8,5,3
CORADIX TECHNOLOGY CONSULTING,2016,5,5,0
CORADIX TECHNOLOGY CONSULTING,2017,10,5,5
CORADIX TECHNOLOGY CONSULTING,2018,12,11,1
CORADIX TECHNOLOGY CONSULTING,2019,2,1,1
EXCEL HUMAN RESOURCES,2016,1,1,0
EXCEL HUMAN RESOURCES,2018,5,4,1
EXCEL HUMAN RESOURCES,2019,11,7,4
GILMORE PRINTING SERVICES,2017,4,4,0
GILMORE PRINTING SERVICES,2018,6,5,1
GILMORE PRINTING SERVICES,2019,6,3,3
GILMORE REPRODUCTIONS,2017,1,1,0
GILMORE REPRODUCTIONS,2018,6,6,0
GILMORE REPRODUCTIONS,2019,10,9,1
IBM CANADA,2016,1,1,0
IBM CANADA,2017,6,4,2
IBM CANADA,2018,7,6,1
IBM CANADA,2019,3,2,1
NORTHERN MICRO,2016,1,1,0
NORTHERN MICRO,2017,5,5,0
NORTHERN MICRO,2018,8,7,1
NORTHERN MICRO,2019,4,3,1
SOFTCHOICE,2017,6,6,0
SOFTCHOICE,2018,8,7,1
SOFTCHOICE,2019,3,1,2
